iter	Logloss
0	0.6173999821
1	0.5477158921
2	0.4982670898
3	0.4581906529
4	0.4210182134
5	0.396287792
6	0.3765642165
7	0.3514819284
8	0.3360557539
9	0.3220248539
10	0.3114380816
11	0.3022757413
12	0.2944802637
13	0.2868709395
14	0.2768991362
15	0.269826783
16	0.2645756103
17	0.2607108747
18	0.2553352218
19	0.2509894032
20	0.2478651666
21	0.2436107736
22	0.2398791133
23	0.2368385108
24	0.2332701639
25	0.2304884488
26	0.2280293236
27	0.2255234307
28	0.2236579485
29	0.2216280492
30	0.2202500109
31	0.2185884318
32	0.2171469913
33	0.2153416588
34	0.2129704642
35	0.2111229275
36	0.2097009195
37	0.2082929179
38	0.2061087797
39	0.2036955797
40	0.2010782821
41	0.197637527
42	0.1960035886
43	0.1951127747
44	0.1940861025
45	0.1931551271
46	0.1921029511
47	0.1909943826
48	0.1902345542
49	0.1892214506
50	0.187309227
51	0.185089065
52	0.1843227869
53	0.1836601569
54	0.1829413673
55	0.1818881429
56	0.1814218044
57	0.1803715633
58	0.1796760732
59	0.1781023906
60	0.1761772025
61	0.1757067352
62	0.1749166864
63	0.1746866309
64	0.1739528676
65	0.1728932692
66	0.1723893207
67	0.1717976831
68	0.1710201422
69	0.1703360082
70	0.1700387938
71	0.169381426
72	0.1687668523
73	0.1680780423
74	0.1676069273
75	0.1671805476
76	0.1667548961
77	0.1663364025
78	0.1658933512
79	0.165299437
80	0.1650069171
81	0.1645340768
82	0.1643123785
83	0.1635941336
84	0.1629186071
85	0.1622889222
86	0.161961411
87	0.1614428611
88	0.1606426201
89	0.1598416296
90	0.1583686033
91	0.1579218717
92	0.1575256213
93	0.1569328715
94	0.1564230161
95	0.1560818691
96	0.1553030973
97	0.1550802351
98	0.1547270409
99	0.1541469836
100	0.1539276118
101	0.1536151576
102	0.1533175765
103	0.1529838969
104	0.1525447314
105	0.1521304704
106	0.1517062549
107	0.151113314
108	0.1503441985
109	0.1500027394
110	0.1495419075
111	0.149245814
112	0.1488031133
113	0.1485773081
114	0.1481046709
115	0.147864846
116	0.1477147035
117	0.1475309798
118	0.1472776057
119	0.1470335322
120	0.1468085743
121	0.1466652963
122	0.1464721162
123	0.1462649658
124	0.1460712801
125	0.1456738302
126	0.1454566918
127	0.1453156431
128	0.1450786494
129	0.1446988522
130	0.1442615108
131	0.1439469628
132	0.1436690911
133	0.1434641701
134	0.1429853627
135	0.1428033767
136	0.1426278412
137	0.1422741198
138	0.1421125035
139	0.1418821277
140	0.1417750126
141	0.1415271791
142	0.1413677445
143	0.1411533305
144	0.1410315452
145	0.1404881095
146	0.1404329133
147	0.1400708836
148	0.1399217867
149	0.1395592888
150	0.13943288
151	0.1392602043
152	0.1388522242
153	0.1386509982
154	0.1385433819
155	0.1384482658
156	0.1381507681
157	0.1380268953
158	0.1378562302
159	0.1375264704
160	0.1370963207
161	0.1369523563
162	0.1367946717
163	0.1366070221
164	0.1364749569
165	0.1360813518
166	0.1358397317
167	0.1355534451
168	0.1354545569
169	0.1351333013
170	0.1348816391
171	0.1347252372
172	0.1346586968
173	0.1344517758
174	0.1344206063
175	0.1341904201
176	0.1341104178
177	0.1339454128
178	0.1337559512
179	0.1335570915
180	0.1333814756
181	0.1332227967
182	0.1331517018
183	0.132922089
184	0.1327729142
185	0.1325934587
186	0.1324779235
187	0.1322155819
188	0.132115383
189	0.1319873801
190	0.1317319246
191	0.1315605503
192	0.1312557692
