iter	Passed	Remaining
0	161	161060
1	170	85224
2	181	60195
3	192	47812
4	202	40281
5	212	35267
6	224	31789
7	236	29274
8	248	27348
9	258	25601
10	270	24294
11	280	23130
12	292	22227
13	303	21390
14	315	20741
15	326	20080
16	336	19462
17	348	18989
18	359	18546
19	370	18131
20	380	17747
21	391	17409
22	403	17131
23	414	16839
24	425	16577
25	434	16285
26	444	16023
27	455	15802
28	464	15558
29	475	15381
30	485	15168
31	496	15030
32	508	14914
33	518	14739
34	530	14626
35	540	14474
36	550	14331
37	561	14217
38	573	14125
39	583	13999
40	593	13885
41	604	13782
42	614	13676
43	627	13628
44	638	13551
45	648	13447
46	660	13393
47	671	13311
48	683	13270
49	694	13202
50	705	13134
51	717	13074
52	726	12989
53	739	12951
54	750	12896
55	761	12836
56	774	12805
57	784	12740
58	795	12679
59	805	12626
60	818	12593
61	831	12574
62	840	12503
63	852	12463
64	862	12413
65	873	12362
66	887	12352
67	898	12316
68	911	12300
69	922	12250
70	932	12201
71	943	12164
72	956	12141
73	966	12097
74	979	12083
75	990	12041
76	1001	12008
77	1011	11961
78	1022	11924
79	1034	11892
80	1045	11866
81	1055	11820
82	1067	11795
83	1079	11774
84	1089	11730
85	1101	11705
86	1110	11658
87	1121	11621
88	1130	11572
89	1142	11550
90	1152	11511
91	1161	11463
92	1172	11431
93	1181	11385
94	1191	11354
95	1204	11338
96	1214	11308
97	1225	11283
98	1237	11266
99	1248	11237
100	1259	11211
101	1270	11189
102	1280	11153
103	1290	11118
104	1299	11076
105	1309	11044
106	1320	11020
107	1330	10989
108	1341	10964
109	1352	10940
110	1361	10904
111	1372	10884
112	1384	10870
113	1395	10844
114	1408	10835
115	1418	10807
116	1429	10788
117	1439	10756
118	1450	10741
119	1461	10714
120	1473	10701
121	1485	10688
122	1496	10672
123	1507	10651
124	1517	10620
125	1526	10589
126	1537	10569
127	1549	10556
128	1560	10538
129	1569	10505
130	1582	10496
131	1592	10469
132	1602	10447
133	1615	10439
134	1625	10415
135	1636	10394
136	1649	10390
137	1661	10380
138	1674	10374
139	1686	10359
140	1699	10353
141	1710	10334
142	1721	10319
143	1732	10300
144	1743	10282
145	1753	10256
146	1764	10236
147	1774	10213
148	1783	10186
149	1794	10169
150	1807	10162
151	1817	10140
152	1828	10121
153	1838	10102
154	1850	10087
155	1861	10068
156	1871	10049
157	1881	10028
158	1891	10003
159	1900	9978
160	1909	9953
161	1919	9929
162	1930	9913
163	1941	9896
164	1953	9883
165	1964	9872
166	1978	9868
167	1988	9846
168	1998	9827
169	2009	9812
170	2020	9794
171	2031	9781
172	2042	9764
173	2052	9744
174	2063	9726
175	2073	9708
176	2084	9690
177	2094	9674
178	2104	9654
179	2114	9632
180	2124	9612
181	2137	9605
182	2149	9596
183	2160	9581
184	2169	9557
185	2181	9548
186	2193	9538
187	2205	9524
188	2218	9519
189	2230	9509
190	2242	9498
191	2253	9482
192	2263	9465
193	2274	9447
194	2284	9431
195	2294	9412
196	2304	9391
197	2315	9377
198	2326	9365
199	2337	9350
200	2349	9337
201	2359	9322
202	2369	9304
203	2381	9292
204	2391	9275
205	2402	9260
206	2413	9246
207	2424	9232
208	2436	9219
209	2446	9204
210	2458	9193
211	2471	9186
212	2482	9172
213	2496	9168
214	2507	9156
215	2518	9142
216	2532	9137
217	2545	9131
218	2560	9129
219	2572	9121
220	2586	9117
221	2597	9103
222	2608	9089
223	2621	9081
224	2632	9067
225	2645	9060
226	2655	9043
227	2666	9027
228	2679	9021
229	2690	9007
230	2703	8998
231	2712	8978
232	2725	8971
233	2736	8957
234	2746	8939
235	2757	8927
236	2769	8915
237	2780	8903
238	2792	8891
239	2804	8880
240	2814	8864
241	2827	8857
242	2840	8847
243	2851	8834
244	2861	8819
245	2873	8807
246	2883	8791
247	2893	8774
248	2906	8765
249	2917	8752
250	2929	8742
251	2940	8727
252	2950	8712
253	2961	8698
254	2971	8680
255	2980	8662
256	2990	8645
257	3002	8633
258	3015	8627
259	3025	8609
260	3037	8600
261	3047	8584
262	3057	8566
263	3067	8552
264	3078	8538
265	3088	8522
266	3099	8509
267	3110	8494
268	3121	8483
269	3134	8474
270	3143	8456
271	3153	8441
272	3163	8424
273	3173	8408
274	3183	8393
275	3194	8379
276	3212	8383
277	3230	8389
278	3248	8395
279	3265	8398
280	3279	8391
281	3294	8388
282	3306	8376
283	3315	8359
284	3325	8343
285	3337	8332
286	3350	8322
287	3360	8307
288	3371	8293
289	3380	8276
290	3390	8260
291	3402	8248
292	3412	8234
293	3425	8225
294	3435	8210
295	3445	8194
296	3456	8182
297	3467	8169
298	3478	8155
299	3488	8139
300	3497	8121
301	3507	8106
302	3518	8094
303	3528	8079
304	3541	8069
305	3551	8055
306	3562	8040
307	3573	8029
308	3583	8013
309	3592	7997
310	3604	7986
311	3615	7973
312	3625	7957
313	3636	7944
314	3649	7935
315	3661	7924
316	3672	7912
317	3684	7901
318	3695	7888
319	3705	7873
320	3716	7861
321	3729	7852
322	3739	7837
323	3749	7822
324	3760	7810
325	3772	7799
326	3782	7785
327	3793	7772
328	3803	7757
329	3815	7747
330	3827	7736
331	3836	7718
332	3847	7707
333	3860	7697
334	3872	7687
335	3884	7676
336	3896	7665
337	3905	7650
338	3915	7634
339	3926	7621
340	3938	7611
341	3948	7597
342	3958	7582
343	3970	7570
344	3980	7558
345	3992	7546
346	4002	7531
347	4014	7520
348	4026	7509
349	4037	7497
350	4046	7482
351	4057	7469
352	4069	7458
353	4079	7444
354	4090	7431
355	4100	7417
356	4112	7406
357	4124	7396
358	4135	7383
359	4147	7373
360	4157	7359
361	4170	7349
362	4179	7334
363	4190	7321
364	4201	7309
365	4215	7302
366	4227	7291
367	4236	7276
368	4249	7266
369	4260	7254
370	4272	7243
371	4283	7230
372	4293	7217
373	4306	7207
374	4316	7194
375	4326	7180
376	4339	7170
377	4349	7157
378	4358	7142
379	4370	7130
380	4383	7120
381	4394	7109
382	4405	7097
383	4415	7083
384	4428	7073
385	4438	7060
386	4450	7049
387	4460	7035
388	4471	7023
389	4482	7011
390	4497	7004
391	4510	6995
392	4521	6983
393	4532	6971
394	4542	6956
395	4552	6943
396	4562	6930
397	4574	6919
398	4586	6907
399	4596	6895
400	4607	6882
401	4616	6867
402	4627	6855
403	4639	6845
404	4651	6832
405	4663	6823
406	4675	6812
407	4688	6802
408	4698	6788
409	4708	6775
410	4719	6762
411	4728	6748
412	4739	6736
413	4750	6724
414	4760	6711
415	4770	6697
416	4781	6685
417	4792	6672
418	4804	6662
419	4815	6650
420	4826	6637
421	4839	6628
422	4851	6617
423	4861	6604
424	4872	6592
425	4883	6579
426	4895	6568
427	4906	6557
428	4917	6545
429	4927	6532
430	4939	6520
431	4952	6511
432	4962	6498
433	4974	6486
434	4985	6475
435	4996	6463
436	5008	6453
437	5018	6438
438	5030	6428
439	5040	6415
440	5053	6405
441	5063	6392
442	5074	6380
443	5085	6368
444	5096	6356
445	5106	6343
446	5117	6330
447	5129	6319
448	5139	6306
449	5151	6296
450	5161	6282
451	5170	6269
452	5182	6257
453	5192	6244
454	5202	6231
455	5213	6219
456	5222	6204
457	5233	6193
458	5244	6180
459	5255	6169
460	5265	6156
461	5277	6145
462	5287	6132
463	5297	6119
464	5308	6107
465	5320	6096
466	5329	6083
467	5340	6071
468	5350	6057
469	5361	6045
470	5371	6033
471	5381	6019
472	5391	6007
473	5401	5994
474	5412	5982
475	5425	5972
476	5435	5959
477	5447	5948
478	5459	5938
479	5469	5925
480	5482	5915
481	5491	5901
482	5501	5888
483	5514	5878
484	5525	5867
485	5535	5854
486	5547	5843
487	5559	5833
488	5571	5822
489	5581	5809
490	5592	5797
491	5604	5786
492	5616	5775
493	5626	5762
494	5637	5751
495	5649	5740
496	5659	5728
497	5670	5715
498	5681	5704
499	5692	5692
500	5703	5680
501	5714	5668
502	5724	5655
503	5734	5643
504	5744	5631
505	5757	5620
506	5768	5609
507	5778	5596
508	5788	5583
